paper_id,doi,title,stratum,priority,acquisition_status,blocker
paper_93cedcfa926532d7,10.1016/s0003-2697(79)80098-6,A specific method for determination of free tryptophan and endogenous tryptophan in Escherichia coli,REVIEW_OR_NON_ENGINEERING,B,no_oa_source,FULLTEXT_MISSING
paper_970c7528ecbb36b4,10.1007/bf00170384,Amplification of the tryptophan operon gene in Escherichia coli chromosome to increase l-tryptophan biosynthesis,REVIEW_OR_NON_ENGINEERING,B,http_error,FULLTEXT_MISSING
paper_bd975e12fa7cf40d,10.1099/00221287-130-12-3091,Factors Affecting the Biosynthesis of L-Tryptophan by Genetically Modified Strains of Escherichia coli,REVIEW_OR_NON_ENGINEERING,B,no_oa_source,FULLTEXT_MISSING
paper_ccd18a848f0ae518,10.1016/j.cherd.2018.05.011,In silico optimization of a bioreactor with an E. coli culture for tryptophan production by using a structured model coupling the oscillating glycolysis and tryptophan synthesis,REVIEW_OR_NON_ENGINEERING,B,no_oa_source,FULLTEXT_MISSING
paper_ed6c513b602c2b7e,10.1016/j.ymben.2018.06.007,Metabolic pathway engineering for high-level production of 5-hydroxytryptophan in Escherichia coli,WRONG_PRODUCT_OR_NON_TARGET,B,no_oa_source,FULLTEXT_MISSING
paper_00d4498e8104347a,10.1007/s13213-012-0419-6,Effect of feeding strategy on l-tryptophan production by recombinant Escherichia coli,MECHANISM_BOUNDARY,C,not_pdf,FULLTEXT_MISSING
paper_09e1639044037a26,10.1007/s00253-016-7772-5,Rational design and metabolic analysis of Escherichia coli for effective production of L-tryptophan at high concentration,MECHANISM_BOUNDARY,C,not_pdf,FULLTEXT_MISSING
paper_0b96108943a6f93d,10.1001/jama.1971.03190200058012,Tryptophan Biosynthesis in Escherichia coli,MECHANISM_BOUNDARY,C,no_oa_source,FULLTEXT_MISSING
paper_20af2b92a6a7f562,10.21519/0234-2758-2016-2-11-42,Metabolic Engineering of Escherichia coli for L-tryptophan Producing,MECHANISM_BOUNDARY,C,http_error,FULLTEXT_MISSING
paper_2b449ecc024b6a4a,10.1139/g79-029,TRYPTOPHAN-REQUIRING PARENTAL STRAINS YIELD SALMONELLA TYPHIMURIUM × ESCHERICHIA COLI HYBRID RECOMBINANTS WITH FUNCTIONAL TRYPTOPHAN OPERONS,MECHANISM_BOUNDARY,C,no_oa_source,FULLTEXT_MISSING
paper_8326a57e530da2fb,10.1126/science.6353574,Expression of Naphthalene Oxidation Genes in Escherichia coli Results in the Biosynthesis of Indigo,MECHANISM_BOUNDARY,C,no_oa_source,FULLTEXT_MISSING
paper_f315a5bed9777365,10.1111/j.1462-2920.2006.01143.x,Temporal gene‐expression in Escherichia coli K‐12 biofilms,MECHANISM_BOUNDARY,C,no_oa_source,FULLTEXT_MISSING
paper_058d4038860ee497,10.1016/j.fbio.2026.109441,Integrated transporter engineering and metabolic flux redistribution for efficient production of 3-fucosyllactose in Escherichia coli,BACKGROUND_EXCLUDE,D,no_oa_source,FULLTEXT_MISSING
paper_0c12cfc6403c5279,10.1016/j.ymben.2015.08.003,Establishment of a yeast platform strain for production of p-coumaric acid through metabolic engineering of aromatic amino acid biosynthesis,BACKGROUND_EXCLUDE,D,not_pdf,FULLTEXT_MISSING
paper_64aaa720a827c2ed,10.1073/pnas.1506781112,Engineering Escherichia coli coculture systems for the production of biochemical products,BACKGROUND_EXCLUDE,D,http_error,FULLTEXT_MISSING
